Geography,Transmission,Disease Type,Symptoms,Disease Name,ICD Code, Disease Group
South Asia,"waterborne, fecal-oral, poor sanitation",bacterial,"profuse diarrhea, dehydration, shock, vomiting, rapid heart rate, low blood pressure",Cholera,A00,Intestinal Infectious Diseases
Global/Developing Nations,"contaminated food, poor hygiene, fecal-oral",bacterial,"sustained high fever, headache, abdominal pain, rose spots, malaise, constipation",Typhoid Fever,A01,Intestinal Infectious Diseases
Americas,"contaminated food, poultry, pet reptiles",bacterial,"diarrhea, abdominal cramps, fever, vomiting, nausea, bloody stool",Other salmonella infections,A02,Intestinal Infectious Diseases
Sub-Saharan Africa,"fecal-oral, direct contact, waterborne",bacterial,"bloody diarrhea, abdominal cramps, fever, tenesmus, dehydration, vomiting",Shigellosis,A03,Intestinal Infectious Diseases
Global,"ingestion, contaminated food, poor cooking",bacterial,"diarrhea, cramping, nausea, vomiting, fever, abdominal tenderness",Other bacterial intestinal infections,A04,Intestinal Infectious Diseases
Global,"toxins, improper storage, raw foods",bacterial,"rapid onset, nausea, vomiting, abdominal pain, dizziness, weakness",Other bacterial food poisoning,A05,Intestinal Infectious Diseases
Indian Subcontinent,"contaminated water, fecal-oral, poor sanitation",parasitic,"bloody diarrhea, stomach pain, fever, fatigue, weight loss, liver abscess",Amoebiasis,A06,Intestinal Infectious Diseases
Americas/Europe,"waterborne, direct contact, host-to-host",parasitic,"watery diarrhea, bloating, gas, cramps, greasy stools, weight loss",Other protozoal intestinal diseases,A07,Intestinal Infectious Diseases
Global,"airborne droplets, fecal-oral, fomites",viral,"vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea, muscle aches",Viral and other specified intestinal infections,A08,Intestinal Infectious Diseases
Global,"fecal-oral, contact, contaminated food",viral,"diarrhea, vomiting, dehydration, abdominal discomfort, fever, loss of appetite","Infectious gastroenteritis and colitis, unspecified",A09,Intestinal Infectious Diseases
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis confirmed,A15,Tuberculosis
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis not confirmed,A16,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"severe headache, neck stiffness, confusion, vision changes, fever, seizures",Tuberculosis of nervous system,A17,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"local pain, fever, organ dysfunction, weight loss, fatigue, swollen glands",Tuberculosis of other organs,A18,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"high fever, chills, weakness, breathing issues, enlarged spleen, skin lesions",Miliary tuberculosis,A19,Tuberculosis
Central Asia,"flea bites, rodent contact, airborne",bacterial,"sudden fever, chills, headache, painful lymph nodes (buboes), weakness, coughing",Plague,A20,Certain Zootonic Bacterial Diseases
North America,"insect bites, handling animals, inhalation",bacterial,"fever, skin ulcer, swollen lymph nodes, headache, joint pain, nausea",Tularemia,A21,Certain Zootonic Bacterial Diseases
Global/Agricultural,"spores, contact with animals, contaminated products",bacterial,"skin sore, fever, chills, nausea, headache, difficulty breathing",Anthrax,A22,Certain Zootonic Bacterial Diseases
Mediterranean/Middle East,"unpasteurized dairy, animal contact, inhalation",bacterial,"undulating fever, joint pain, sweating, fatigue, back pain, loss of appetite",Brucellosis,A23,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, soil contact, inhalation",bacterial,"fever, muscle aches, chest pain, coughing, lung nodules, abscesses",Glanders and melioidosis,A24,Certain Zootonic Bacterial Diseases
Asia,"rat bite, rodent urine, contaminated food",bacterial,"fever, chills, vomiting, joint pain, rash, muscle aches",Rat-bite fever,A25,Certain Zootonic Bacterial Diseases
Global/Occupational,"handling infected meat, skin puncture, cuts",bacterial,"purple skin lesion, fever, joint pain, swollen lymph nodes, general illness, headache",Erysipeloid,A26,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, animal urine, skin contact",bacterial,"high fever, headache, muscle aches, jaundice, vomiting, red eyes",Leptospirosis,A27,Certain Zootonic Bacterial Diseases
Global,"animal contact, bites, environmental",bacterial,"fever, localized swelling, headache, general weakness, nausea, joint pain",Other zoonotic bacterial diseases,A28,Certain Zootonic Bacterial Diseases
South America,"airborne droplets, close contact, prolonged exposure",bacterial,"skin lesions, nerve damage, muscle weakness, sensory loss, eye problems, nosebleeds",Leprosy [Hansen's disease],A30,Other Bacterial Diseases
Global/Immunocompromised,"environmental, soil contact, aerosols",bacterial,"lung disease, swollen lymph nodes, skin ulcers, fever, weight loss, fatigue",Infection due to other mycobacteria,A31,Other Bacterial Diseases
Global,"contaminated food, raw dairy, soil",bacterial,"fever, muscle aches, diarrhea, stiff neck, confusion, convulsions",Listeriosis,A32,Other Bacterial Diseases
Developing Nations,"non-sterile delivery, umbilical cord infection",bacterial,"muscle spasms, difficulty feeding, irritability, lockjaw, arching of back, seizures",Tetanus neonatorum,A33,Other Bacterial Diseases
Developing Nations,"non-sterile birth, wound infection",bacterial,"muscle spasms, lockjaw, stiff neck, fever, irritability, sweating",Obstetrical tetanus,A34,Other Bacterial Diseases
Global/Unvaccinated,"deep puncture wound, soil contamination",bacterial,"muscle spasms, lockjaw, stiff neck, headache, fever, excessive sweating",Other tetanus,A35,Other Bacterial Diseases
Global/Unvaccinated,"airborne droplets, direct contact, fomites",bacterial,"sore throat, fever, swollen neck glands, difficulty breathing, bluish skin, nasal discharge",Diphtheria,A36,Other Bacterial Diseases
Global/Infants,"airborne droplets, direct contact, coughing",bacterial,"severe coughing fits, vomiting after cough, ""whoop"" sound, runny nose, fatigue, apnea",Whooping cough,A37,Other Bacterial Diseases
Global,"airborne droplets, direct contact, saliva",bacterial,"sore throat, high fever, bright red rash, strawberry tongue, headache, chills",Scarlet fever,A38,Other Bacterial Diseases
Sub-Saharan Africa,"airborne droplets, saliva, close contact",bacterial,"sudden fever, stiff neck, severe headache, photophobia, rash, confusion",Meningococcal infection,A39,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Streptococcal septicaemia,A40,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Other septicaemia,A41,Other Bacterial Diseases
Global,"normal flora, dental procedure, trauma",bacterial,"painful swelling, abscesses, draining sinus tracts, fever, weight loss, fatigue",Actinomycosis,A42,Other Bacterial Diseases
Global/Immunocompromised,"inhalation, soil contact, skin trauma",bacterial,"persistent cough, chest pain, fever, shortness of breath, skin lesions, weight loss",Nocardiosis,A43,Other Bacterial Diseases
South America,"sandfly bite, cat scratch, lice",bacterial,"fever, headache, fatigue, swollen glands, skin lesions, body aches",Bartonellosis,A44,Other Bacterial Diseases
Global,"skin break, open wound, direct contact",bacterial,"bright red skin rash, raised border, fever, chills, headache, general malaise",Erysipelas,A46,Other Bacterial Diseases
Global,"various, contact, inhalation",bacterial,"fever, localized symptoms, headache, fatigue, inflammation, body aches","Other bacterial diseases, not elsewhere classified",A48,Other Bacterial Diseases
Global,"various, unknown source",bacterial,"fever, inflammation, fatigue, chills, body aches, localized pain",Bacterial infection of unspecified site,A49,Other Bacterial Diseases
Global,"mother-to-child, vertical transmission",bacterial,"rash, runny nose, hepatosplenomegaly, bone deformities, anemia, jaundice",Congenital syphilis,A50,STDs
Global,"sexual contact, direct contact",bacterial,"painless chancre, rash, swollen lymph nodes, fever, sore throat, hair loss",Early syphilis,A51,STDs
Global,"sexual contact, direct contact",bacterial,"neurological damage, heart problems, gummas, blindness, dementia, paralysis",Late syphilis,A52,STDs
Global,"sexual contact, direct contact",bacterial,"varied, non-specific symptoms, fever, malaise, rash, headache, muscle pain",Other and unspecified syphilis,A53,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, fever, joint swelling, sore throat",Gonococcal infection,A54,STDs
"Africa, Asia, S America","sexual contact, direct contact",bacterial,"swollen lymph nodes, fever, joint pain, headache, rectal pain, genital ulcers",Chlamydial lymphogranuloma (venereum),A55,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, testicular pain, rectal pain, sore throat",Other sexually transmitted chlamydial diseases,A56,STDs
"Africa, Asia","sexual contact, direct contact",bacterial,"painful genital ulcer, swollen lymph nodes, fever, pus discharge, burning sensation, headache",Chancroid,A57,STDs
Developing Countries,"sexual contact, direct contact",bacterial,"progressive genital ulcers, bleeding, swelling, pain, lack of lymph node involvement",Granuloma inguinale,A58,STDs
Global,"sexual contact, direct contact, fomites",parasitic,"discharge, itching, painful urination, abdominal pain, foul odor, spotting",Trichomoniasis,A59,STDs
Global,"sexual contact, direct contact, skin-to-skin",viral,"painful blisters, ulcers, itching, flu-like symptoms, lymph node swelling, painful urination",Anogenital herpesviral infection,A60,STDs
Global,"sexual contact, direct contact",bacterial,"genital lesions, discharge, pain, itching, swelling, fever","Other predominantly sexually transmitted diseases, NEC",A63,STDs
Global,"sexual contact, unknown",viral,"discharge, pain, itching, rash, fever, malaise",Unspecified sexually transmitted disease,A64,STDs
"Africa, Middle East","non-sexual contact, oral contact, direct contact",bacterial,"skin lesions, bone damage, gummas, painless ulcers, nerve deafness, eye inflammation",Nonvenereal syphilis,A65,Other spirochaetal diseases
"Africa, Southeast Asia","skin contact, direct contact, non-sexual contact",bacterial,"painless skin nodules, bone pain, joint swelling, skin ulcers, fever, rash",Yaws,A66,Other spirochaetal diseases
Latin America,"skin contact, direct contact",bacterial,"initial skin lesion, white skin patches, hyperpigmentation, itching, rash, scaling",Pinta (carate),A67,Other spirochaetal diseases
"Africa, Asia","tick vector, louse vector, direct contact",bacterial,"recurring high fever, headache, muscle aches, nausea, rash, vomiting",Relapsing fevers,A68,Other spirochaetal diseases
Global,"tick bite, animal contact, direct contact",bacterial,"fever, rash, joint pain, headache, fatigue, neurological symptoms",Other spirochaetal infections,A69,Other spirochaetal diseases
Global/Birds,"avian aerosols, bird droppings, inhalation",bacterial,"fever, headache, dry cough, chest pain, muscle aches, chills",Infection due to Chlamydia psittaci,A70,Other diseases caused by clamydiae
"Africa, Middle East","eye discharge, direct contact, flies",bacterial,"painful eyes, inflammation, discharge, in-turned eyelashes, blurred vision, scarring",Trachoma,A71,Other diseases caused by clamydiae
Global,"various, contact, aerosols",bacterial,"fever, localized inflammation, headache, body aches, joint pain, fatigue",Other diseases caused by Chlamydiae,A74,Other diseases caused by clamydiae
Global/Poverty Areas,"louse vector, flea vector, body fluids",bacterial,"high fever, severe headache, rash, muscle aches, chills, confusion",Typhus fever,A75,Rickettsioses
Global/Americas,"tick vector, animal contact, insect bites",bacterial,"fever, headache, rash, muscle pain, nausea, vomiting",Spotted fever [rickettsioses],A77,Rickettsioses
Global/Livestock,"inhalation, contaminated milk, animal contact",bacterial,"high fever, severe headache, dry cough, chest pain, fatigue, night sweats",Q fever,A78,Rickettsioses
Global,"insect vector, animal contact",bacterial,"fever, rash, headache, muscle aches, malaise, chills",Other rickettsioses,A79,Rickettsioses
"Asia, Africa","fecal-oral, direct contact, waterborne",viral,"fever, fatigue, vomiting, stiff neck, muscle weakness, paralysis",Acute poliomyelitis,A80
Worldwide,"['Non-infectious', 'Allergic reaction', 'Autoimmune']",Allergic,"['Wheals', 'Raised red welts', 'Intense itching', 'Swelling', 'Transient lesions', 'Angioedema']",Urticaria (Hives),L50
Worldwide,"['Non-infectious', 'Infection (Herpes)', 'Drug reaction']",Hypersensitivity,"['Target lesions', 'Red macules', 'Papules', 'Blisters', 'Mouth sores', 'Fever']",Erythema multiforme,L51
Worldwide,"['Non-infectious', 'Hypersensitivity', 'Infection (Strep)']",Hypersensitivity,"['Tender red nodules', 'Shin lesions', 'Joint pain', 'Fever', 'Malaise', 'Bruise-like discoloration']",Erythema nodosum,L52
Worldwide,"['Non-infectious', 'Inflammatory', 'Unknown etiology']",Inflammatory,"['Redness', 'Rash', 'Macules', 'Papules', 'Figurate erythema', 'Itching']",Other erythematous conditions,L53
Worldwide,"['Non-infectious', 'Secondary to disease', 'Systemic illness']",Non-infectious,"['Redness', 'Rash', 'Underlying disease symptoms', 'Fever', 'Malaise', 'Warm skin']",Erythema in diseases classified elsewhere,L54
Worldwide,"['Non-infectious', 'UV radiation', 'Sun exposure']",Environmental,"['Red skin', 'Pain', 'Swelling', 'Blisters', 'Peeling', 'Headache']",Sunburn,L55
Worldwide,"['Non-infectious', 'UV radiation', 'Drug-induced photosensitivity']",Environmental,"['Polymorphic light eruption', 'Itchy rash', 'Sun allergy', 'Papules', 'Vesicles', 'Redness']",Other acute skin changes due to ultraviolet radiation,L56
Worldwide,"['Non-infectious', 'Chronic sun exposure', 'UV radiation']",Environmental,"['Wrinkles', 'Actinic keratosis', 'Solar elastosis', 'Leathery skin', 'Age spots', 'Telangiectasia']",Skin changes due to chronic exposure to nonionizing radiation,L57
Worldwide,"['Non-infectious', 'Ionizing radiation', 'Radiation therapy']",Environmental,"['Redness', 'Dryness', 'Peeling', 'Pain', 'Ulceration', 'Fibrosis']",Radiodermatitis,L58
Worldwide,"['Non-infectious', 'Radiation exposure', 'Unknown etiology']",Environmental,"['Skin changes', 'Pigmentation changes', 'Atrophy', 'Fibrosis', 'Ulceration', 'Chronic redness']",Other disorders of skin and subcutaneous tissue related to radiation,L59
Worldwide,"['Non-infectious', 'Trauma', 'Fungal infection']",Non-infectious,"['Pitting', 'Discoloration', 'Thickening', 'Brittleness', 'Splitting', 'Ingrown nail']",Nail disorders,L60
Worldwide,"['Non-infectious', 'Secondary to disease', 'Systemic illness']",Non-infectious,"['Nail pitting (psoriasis)', 'Clubbing (lung disease)', 'Spoon nails (anemia)', 'Beau lines', 'Splinter hemorrhages', 'Yellow nail syndrome']",Nail disorders in diseases classified elsewhere,L62
Worldwide,"['Non-infectious', 'Autoimmune', 'Genetic predisposition']",Autoimmune,"['Patchy hair loss', 'Smooth bald patches', 'Exclamation mark hairs', 'Nail pitting', 'Round patches', 'Sudden onset']",Alopecia areata,L63
Worldwide,"['Non-infectious', 'Genetic', 'Hormonal (DHT)']",Genetic,"['Hair thinning', 'Receding hairline', 'Crown balding', 'Gradual onset', 'Patterned hair loss', 'Miniaturized hairs']",Androgenic alopecia,L64
Worldwide,"['Non-infectious', 'Stress (telogen effluvium)', 'Traction']",Environmental,"['Diffuse hair shedding', 'Hair thinning', 'No scarring', 'Increased hair in brush', 'Stress-related onset', 'Traction-related breakage']",Other nonscarring hair loss,L65
Worldwide,"['Non-infectious', 'Inflammatory', 'Autoimmune']",Inflammatory,"['Permanent hair loss', 'Scalp inflammation', 'Scarring', 'Itching', 'Burning', 'Follicular destruction']",Scarring alopecia,L66
Worldwide,"['Non-infectious', 'Genetic', 'Nutritional deficiency']",Genetic,"['Hair breakage', 'Dry hair', 'Brittle hair', 'Knotting', 'Abnormal texture', 'Premature graying']",Hair color and hair shaft abnormalities,L67
Worldwide,"['Non-infectious', 'Genetic', 'Drug-induced']",Genetic,"['Excessive hair growth', 'Abnormal hair location', 'Vellus hair', 'Terminal hair', 'Generalized growth', 'Localized growth']",Hypertrichosis,L68
Worldwide,"['Non-infectious', 'Hormonal', 'Bacterial (P. acnes)']",Inflammatory,"['Comedones (blackheads)', 'Whiteheads', 'Pimples', 'Cysts', 'Nodules', 'Oily skin']",Acne,L70
Europe,"['Non-infectious', 'Inflammatory', 'Genetic predisposition']",Inflammatory,"['Facial redness', 'Flushing', 'Visible blood vessels', 'Pimples', 'Thickened skin (rhinophyma)', 'Eye irritation']",Rosacea,L71
Worldwide,"['Non-infectious', 'Blocked follicle', 'Unknown etiology']",Non-infectious,"['Painless lump', 'Epidermoid cyst', 'Pilar cyst', 'Round nodule', 'Movable under skin', 'Cheesy discharge']",Follicular cysts of skin and subcutaneous tissue,L72
Worldwide,"['Non-infectious', 'Bacterial', 'Inflammatory']",Inflammatory,"['Folliculitis', 'Acne keloidalis nuchae', 'Itchy bumps', 'Pustules at hair follicle', 'Scalp bumps', 'Keloidal scars']",Other follicular disorders,L73
Worldwide,"['Non-infectious', 'Heat', 'Blocked sweat duct']",Non-infectious,"['Miliaria (heat rash)', 'Prickly heat', 'Small red blisters', 'Itching', 'Anhidrosis (no sweat)', 'Hyperhidrosis (excess sweat)']",Eccrine sweat disorders,L74
Worldwide,"['Non-infectious', 'Bacterial', 'Inflammatory']",Inflammatory,"['Hidradenitis suppurativa', 'Painful lumps', 'Abscesses', 'Tracts', 'Scarring', 'Bromhidrosis (foul odor)']",Apocrine sweat disorders,L75
Worldwide,"['Non-infectious', 'Autoimmune', 'Genetic predisposition']",Autoimmune,"['White skin patches', 'Depigmentation', 'Symmetrical patches', 'Hair whitening', 'Mucous membrane involvement', 'No scaling']",Vitiligo,L80
Worldwide,"['Non-infectious', 'Genetic', 'Sun exposure']",Pigmentation,"['Hyperpigmentation', 'Hypopigmentation', 'Freckles', 'Melasma', 'Age spots', 'Uneven skin tone']",Other disorders of pigmentation,L81
Worldwide,"['Non-infectious', 'Age-related', 'Genetic']",Benign neoplasm,"['Warty growth', 'Brown or black lesion', 'Stuck-on appearance', 'Waxy texture', 'Itching', 'Multiple lesions']",Seborrhoeic keratosis,L82
Worldwide,"['Non-infectious', 'Insulin resistance', 'Obesity']",Metabolic,"['Dark velvety patches', 'Thickened skin', 'Neck folds', 'Armpits', 'Groin', 'Skin tags']",Acanthosis nigricans,L83
Worldwide,"['Non-infectious', 'Friction', 'Pressure']",Environmental,"['Thick hard skin', 'Pain on pressure', 'Foot lesions', 'Central core (corn)', 'Diffuse thickening (callus)', 'Dry skin']",Corns and callosities,L84
Worldwide,"['Non-infectious', 'Genetic', 'Inflammatory']",Genetic,"['Keratoderma', 'Thickened palms', 'Thickened soles', 'Scaling', 'Cracking', 'Pain']",Other epidermal thickening,L85
Worldwide,"['Non-infectious', 'Secondary to disease', 'Systemic illness']",Non-infectious,"['Thickened palms', 'Thickened soles', 'Underlying disease symptoms', 'Scaling', 'Fissures', 'Inflammation']",Keratoderma in diseases classified elsewhere,L86
Worldwide,"['Non-infectious', 'Inflammatory', 'Unknown etiology']",Inflammatory,"['Papules', 'Crusting', 'Itching', 'Umbilicated lesions', 'Collarette of scale', 'Elimination of dermal material']",Transepidermal elimination disorders,L87
Worldwide,"['Non-infectious', 'Autoimmune', 'Associated with IBD']",Autoimmune,"['Painful ulcer', 'Rapidly expanding ulcer', 'Violaceous border', 'Pustule progressing to ulcer', 'Leg lesions', 'Pathergy']",Pyoderma gangrenosum,L88
Worldwide,"['Non-infectious', 'Prolonged pressure', 'Immobility']",Environmental,"['Skin redness', 'Broken skin', 'Ulceration', 'Pain', 'Necrosis', 'Infection']",Decubitus ulcer (Pressure ulcer),L89
Worldwide,"['Non-infectious', 'Inflammatory', 'Aging']",Inflammatory,"['Thin skin', 'Wrinkling', 'Loss of elasticity', 'Anetoderma', 'Striae (stretch marks)', 'Lichen sclerosus']",Atrophic disorders of skin,L90
Worldwide,"['Non-infectious', 'Abnormal healing', 'Genetic']",Non-infectious,"['Keloid scar', 'Hypertrophic scar', 'Raised scar', 'Itching', 'Pain', 'Extends beyond wound border']",Hypertrophic disorders of skin,L91
Worldwide,"['Non-infectious', 'Inflammatory', 'Unknown etiology']",Inflammatory,"['Granuloma annulare', 'Annular plaques', 'Ring-shaped lesions', 'Papules', 'No scale', 'Necrobiosis lipoidica']",Granulomatous disorders of skin and subcutaneous tissue,L92
Worldwide,"['Non-infectious', 'Autoimmune', 'Genetic predisposition']",Autoimmune,"['Butterfly rash (malar)', 'Discoid rash', 'Photosensitivity', 'Scaly patches', 'Atrophy', 'Joint pain']",Lupus erythematosus,L93
Worldwide,"['Non-infectious', 'Autoimmune', 'Inflammatory']",Autoimmune,"['Morphea (localized scleroderma)', 'Hardened skin patches', 'Waxy texture', 'Loss of hair in patch', 'Joint pain', 'Linear scleroderma']",Other localized connective tissue disorders,L94
Worldwide,"['Non-infectious', 'Autoimmune', 'Hypersensitivity']",Autoimmune,"['Palpable purpura', 'Red or purple spots', 'Non-blanching rash', 'Leg lesions', 'Itching', 'Burning']","Vasculitis limited to skin, not elsewhere classified",L95
Worldwide,"['Non-infectious', 'Venous insufficiency', 'Arterial disease']",Vascular,"['Leg ulcer', 'Slow healing', 'Pain', 'Swelling', 'Skin discoloration', 'Discharge']",Non-pressure chronic ulcer of lower limb,L97
Worldwide,"['Non-infectious', 'Unknown etiology', 'Various causes']",Non-infectious,"['Skin ulcer', 'Chronic skin changes', 'Edema', 'Fibrosis', 'Hygroma', 'Calcinosis']","Other disorders of skin and subcutaneous tissue, NEC",L98
Worldwide,"['Non-infectious', 'Secondary to disease', 'Systemic illness']",Non-infectious,"['Amyloidosis cutis', 'Metastatic calcification', 'Skin manifestations of internal disease', 'Porphyria cutanea tarda', 'Xanthomas', 'Dermopathy']",Other disorders of skin and subcutaneous tissue in diseases NEC,L99
Worldwide,"['bacterial-spread', 'bloodstream', 'direct-inoculation']",bacterial,"['sudden-joint-pain', 'severe-joint-swelling', 'fever', 'chills', 'limited-range-of-motion', 'skin-redness-over-joint']",Pyogenic arthritis,M00
Worldwide,"['viral-spread', 'parasitic-spread', 'fungal-spread']",viral,"['joint-pain', 'joint-swelling', 'fever', 'rash', 'symptoms-of-primary-infection', 'malaise']",Direct infections of joint in infectious and parasitic diseases,M01
Worldwide,"['gastrointestinal-infection', 'genitourinary-infection', 'post-infection']",bacterial,"['arthritis-pain', 'eye-inflammation', 'urethritis', 'swollen-toes-or-fingers', 'heel-pain', 'lower-back-pain']",Reactive arthropathies,M02
Worldwide,"['post-infection', 'N/A', 'N/A']",bacterial,"['joint-inflammation', 'follows-infection', 'joint-stiffness', 'fever', 'fatigue', 'symptoms-of-primary-disease']",Postinfective and reactive arthropathies in diseases classified elsewhere,M03
Worldwide,"['N/A', 'N/A', 'N/A']",,"['recurrent-fever', 'joint-pain', 'skin-rash', 'abdominal-pain', 'mouth-sores', 'fatigue']",Autoinflammatory syndromes,M04
Worldwide,"['N/A', 'N/A', 'N/A']",,"['symmetrical-joint-pain', 'morning-stiffness', 'joint-swelling', 'rheumatoid-nodules', 'fatigue', 'low-grade-fever']",Seropositive rheumatoid arthritis,M05
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'joint-swelling', 'morning-stiffness', 'fatigue', 'malaise', 'negative-rheumatoid-factor']",Other rheumatoid arthritis,M06
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'psoriatic-skin-rash', 'nail-changes', 'swollen-fingers-or-toes', 'back-pain', 'eye-inflammation']",Psoriatic and enteropathic arthropathies,M07
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain-in-child', 'joint-swelling-in-child', 'persistent-fever', 'rash', 'limping', 'growth-problems']",Juvenile arthritis,M08
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain-in-child', 'underlying-disease-symptoms', 'fever', 'fatigue', 'limited-movement', 'swelling']",Juvenile arthritis in diseases classified elsewhere,M09
Worldwide,"['N/A', 'N/A', 'N/A']",,"['severe-joint-pain', 'big-toe-pain', 'joint-redness', 'joint-swelling', 'tophi-deposits', 'limited-range-of-motion']",Gout,M10
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'joint-swelling', 'calcium-crystal-deposits', 'stiffness', 'pseudo-gout', 'cartilage-calcification']",Other crystal arthropathies,M11
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'joint-instability', 'recurrent-swelling', 'joint-stiffness', 'clicking-or-locking', 'history-of-trauma']",Other specific arthropathies,M12
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'joint-stiffness', 'swelling', 'inflammation', 'crepitus', 'reduced-mobility']",Other arthritis,M13
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'underlying-disease-symptoms', 'joint-stiffness', 'swelling', 'inflammation', 'systemic-symptoms']",Arthropathies in other diseases classified elsewhere,M14
Worldwide,"['N/A', 'N/A', 'N/A']",,"['pain-in-multiple-joints', 'stiffness-after-rest', 'bony-enlargements-hands', 'grating-sensation', 'limited-range-of-motion', 'aching-pain']",Polyosteoarthritis,M15
Worldwide,"['N/A', 'N/A', 'N/A']",,"['hip-pain', 'groin-pain', 'stiffness-in-hip', 'limited-hip-motion', 'limping', 'pain-worse-with-activity']",Coxarthrosis [osteoarthritis of hip],M16
Worldwide,"['N/A', 'N/A', 'N/A']",,"['knee-pain', 'knee-stiffness', 'swelling-in-knee', 'grating-sensation', 'buckling-of-knee', 'difficulty-climbing-stairs']",Gonarthrosis [osteoarthritis of knee],M17
Worldwide,"['N/A', 'N/A', 'N/A']",,"['thumb-base-pain', 'difficulty-gripping', 'stiffness-at-thumb-base', 'swelling-at-thumb-base', 'bony-lump', 'grinding-sensation']",Osteoarthritis of first carpometacarpal joint,M18
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'joint-stiffness', 'limited-range-of-motion', 'swelling', 'crepitus', 'pain-after-use']",Other osteoarthritis,M19
Worldwide,"['N/A', 'N/A', 'N/A']",,"['deformed-finger', 'deformed-toe', 'hammer-toe', 'mallet-finger', 'bunion', 'pain-with-footwear']",Acquired deformities of fingers and toes,M20
Worldwide,"['N/A', 'N/A', 'N/A']",,"['unequal-leg-length', 'limb-deformity', 'gait-abnormality', 'pain', 'functional-limitation', 'joint-contracture']",Other acquired deformities of limbs,M21
Worldwide,"['N/A', 'N/A', 'N/A']",,"['anterior-knee-pain', 'pain-behind-kneecap', 'kneecap-instability', 'kneecap-dislocation', 'grinding-sensation', 'pain-sitting-long-periods']",Disorders of patella,M22
Worldwide,"['N/A', 'N/A', 'N/A']",,"['knee-locking', 'knee-catching', 'knee-giving-way', 'knee-pain', 'knee-swelling', 'meniscus-tear-symptoms']",Internal derangement of knee,M23
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-locking', 'joint-clicking', 'joint-instability', 'pain', 'swelling', 'reduced-range-of-motion']",Other specific joint derangements,M24
Worldwide,"['N/A', 'N/A', 'N/A']",,"['joint-pain', 'joint-swelling', 'joint-stiffness', 'popping-sound', 'grinding-sensation', 'joint-effusion']","Other joint disorders, not elsewhere classified",M25
Worldwide,"['N/A', 'N/A', 'N/A']",,"['fever', 'weight-loss', 'fatigue', 'muscle-pain', 'joint-pain', 'skin-lesions']",Polyarteritis nodosa and related conditions,M30
Worldwide,"['N/A', 'N/A', 'N/A']",,"['respiratory-problems', 'kidney-problems', 'sinusitis', 'rash', 'fever', 'joint-pain']",Other necrotizing vasculopathies,M31
Worldwide,"['N/A', 'N/A', 'N/A']",,"['butterfly-rash-face', 'joint-pain', 'fatigue', 'fever', 'sun-sensitivity', 'kidney-problems']",Systemic lupus erythematosus (SLE),M32
Worldwide,"['N/A', 'N/A', 'N/A']",,"['muscle-weakness', 'skin-rash-eyelids', 'skin-rash-knuckles', 'difficulty-swallowing', 'fatigue', 'muscle-pain']",Dermatopolymyositis,M33
Worldwide,"['N/A', 'N/A', 'N/A']",,"['skin-thickening', 'skin-hardening', 'raynauds-phenomenon', 'joint-pain', 'difficulty-swallowing', 'shortness-of-breath']",Systemic sclerosis [scleroderma],M34
Worldwide,"['N/A', 'N/A', 'N/A']",,"['dry-eyes', 'dry-mouth', 'joint-pain', 'fatigue', 'swollen-glands', 'raynauds-phenomenon']",Other systemic involvement of connective tissue,M35
Worldwide,"['N/A', 'N/A', 'N/A']",,"['connective-tissue-symptoms', 'underlying-disease-symptoms', 'joint-pain', 'skin-changes', 'fatigue', 'organ-involvement']",Systemic disorders of connective tissue in diseases classified elsewhere,M36
